Pump_ID,ZCR,RMS,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Actual_Failure,Failure_Probability,Predicted_Failure,Economic_Optimization,Maintenance_Hours,Failure_Cost,Maintenance_Cost,Risk_Weight,Expected_Failure_Loss,Expected_Net_Benefit,Benefit_Per_Hour,Condition_Severity,Condition_Severity_Normalized,Expected_Failure_Loss_Check,Expected_Net_Benefit_Check,Benefit_Per_Hour_Check,High_Risk,MILP_Selected,Maintenance_Decision,Risk_Level
511,0.1388029153354632,0.008823701,1956.6994161386904,2011.7283371046935,4244.034544728434,-299.4401,82.614075,1.7687578,12.539117,0.61782026,1.547272,-0.86526686,3.4550524,-3.1245031,-2.686989,16.726019,9.560867,-10.860645,1,0.995,1,1,6.0,71424.45006313764,7285.467003788259,1000.0,71067.32781282195,63781.86080903369,10630.310134838948,4.632640809691652,0.42848900126275297,71067.32781282195,63781.86080903369,10630.310134838948,1,1,MAINTAIN,HIGH RISK
367,0.1414190420327476,0.008941452,1999.7189272343628,2025.139187962196,4423.197883386581,-295.75418,80.46275,-0.43520206,11.939464,0.7995339,2.1411154,-3.2613301,7.062386,-6.0184016,-5.0844703,14.054847,10.240226,-0.5469027,1,0.97,1,1,6.0,72347.45222606086,7340.847133563652,1000.0,70177.02865927904,62836.18152571539,10472.696920952565,4.759287159298217,0.4469490445212174,70177.02865927904,62836.18152571539,10472.696920952565,1,1,MAINTAIN,HIGH RISK
503,0.1177818615215655,0.009542161,1737.776865579385,1951.3316890347176,3935.078873801917,-296.17926,90.413414,3.6772406,21.903006,8.963779,12.6045885,3.932387,4.7908387,-3.1912868,-3.438311,13.935765,7.5688744,-13.368392,1,0.985,1,1,4.0,69384.91146018801,7163.094687611281,1000.0,68344.1377882852,61181.043100673916,15295.260775168479,4.352793015914888,0.3876982292037602,68344.1377882852,61181.043100673916,15295.260775168479,1,1,MAINTAIN,HIGH RISK
328,0.1113109649560702,0.009690548,1782.0797594081262,2000.2634707018144,4048.0980431309904,-308.30722,86.236824,7.701096,26.375715,10.429005,6.971563,2.0256689,8.284219,-2.455536,-6.433947,11.197415,3.729195,-14.2752285,1,0.925,1,0,6.0,72062.76734876217,7323.76604092573,1000.0,66658.059797605,59334.293756679275,9889.048959446545,4.720225170121628,0.4412553469752431,66658.059797605,59334.293756679275,9889.048959446545,1,1,MAINTAIN,HIGH RISK
413,0.1218643919728434,0.009743764,1744.339145788848,1933.4491148487227,4023.961661341853,-291.32422,90.07319,0.6929483,20.29395,9.455687,16.816725,2.7462218,5.5681777,-5.3198895,-1.1451766,11.383255,0.10996181,-12.739282,1,0.995,1,1,4.0,65659.03249780329,6939.541949868198,1000.0,65330.73733531427,58391.19538544607,14597.798846361518,3.8415602272857994,0.3131806499560659,65330.73733531427,58391.19538544607,14597.798846361518,1,1,MAINTAIN,HIGH RISK
475,0.1284366887979233,0.009848548,1647.2298401221278,1828.4666239402488,3652.780551118211,-294.29382,96.07715,-5.664331,21.056816,11.302761,13.637689,1.6901062,4.1173334,-7.421404,0.7119999,16.067112,-0.69191176,-12.372826,1,0.965,1,1,4.0,67754.3960130352,7065.2637607821125,1000.0,65382.99215257897,58317.72839179686,14579.432097949215,4.129067831235994,0.35508792026070435,65382.99215257897,58317.72839179686,14579.432097949215,1,1,MAINTAIN,HIGH RISK
416,0.1347344249201278,0.008902469,1947.2365102992137,2021.521466491101,4370.781749201278,-293.15298,83.43762,0.4343928,10.452369,3.7408373,9.419693,0.10250133,3.714474,-7.0387964,-0.3133172,16.783865,8.270244,-5.726235,1,0.95,1,1,4.0,68751.45871335812,7125.0875228014875,1000.0,65313.885777690215,58188.79825488873,14547.199563722183,4.265876125297667,0.3750291742671625,65313.885777690215,58188.79825488873,14547.199563722183,1,1,MAINTAIN,HIGH RISK
689,0.0526735348442492,0.009961992,1038.1416426821045,1447.525315877238,2100.289536741214,-346.613,135.20222,0.5684998,21.340105,4.6050887,22.429914,7.4047666,3.7415514,-2.321578,0.5091285,4.1906505,2.5916853,-2.7853944,1,0.865,1,0,6.0,75453.59788745074,7527.215873247044,1000.0,65267.36217264489,57740.14629939785,9623.357716566308,5.185485520649205,0.5090719577490147,65267.36217264489,57740.14629939785,9623.357716566308,1,1,MAINTAIN,HIGH RISK
491,0.1307798147963259,0.009931576,1969.025329505415,2049.7271359315887,4369.009584664536,-293.97668,82.36899,5.8243856,14.465101,-1.5755312,-4.439209,-2.2749102,11.492592,6.1285725,-3.363105,3.726231,-5.0278683,-14.581592,1,0.85,1,0,6.0,76516.89648955388,7591.0137893732335,1000.0,65039.362016120795,57448.34822674756,9574.724704457927,5.331382130546238,0.5303379297910777,65039.362016120795,57448.34822674756,9574.724704457927,1,1,MAINTAIN,HIGH RISK
347,0.114293692591853,0.009633536,1830.6695827474068,2037.2306052069612,4271.290934504792,-301.49472,83.92457,10.639193,27.524443,9.407368,9.425531,-3.7040563,5.1482835,0.4008907,3.0732942,9.511362,2.6515062,-6.118898,1,1.0,1,1,4.0,64049.131162017584,6842.947869721055,1000.0,64049.131162017584,57206.183292296526,14301.545823074131,3.6206635321380194,0.2809826232403517,64049.131162017584,57206.183292296526,14301.545823074131,1,1,MAINTAIN,HIGH RISK
